City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Victoria,HK,22.2855,114.1577,79.18,94,40,5.99,scattered clouds
124,Jumla,NP,29.2747,82.1838,48.96,80,87,4.32,overcast clouds
125,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.35,88,100,11.03,moderate rain
126,Palmerston,AU,-12.486,130.9833,75.18,94,75,2.3,broken clouds
127,Kapaa,US,22.0752,-159.319,80.47,69,4,5.01,clear sky
128,Poum,NC,-20.2333,164.0167,76.32,73,62,6.98,broken clouds
129,Rosario,AR,-32.9468,-60.6393,52.95,77,100,14.97,overcast clouds
130,Makakilo City,US,21.3469,-158.0858,80.69,52,4,11.92,clear sky
131,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,69,75,13.8,broken clouds
132,Daru,PG,-9.0763,143.2092,80.4,78,87,10.51,overcast clouds
133,Tiznit,MA,29.5833,-9.5,66.27,61,87,0.74,overcast clouds
134,Ribeira Grande,PT,38.5167,-28.7,64.8,77,75,10.36,broken clouds
135,Labuhan,ID,-6.8844,112.2051,78.4,88,100,7.25,light rain
136,Navalmoral De La Mata,ES,39.8916,-5.5406,60.66,43,5,3.62,clear sky
137,Uray,RU,60.1247,64.7758,62.29,77,100,11.45,light rain
138,Barstow,US,34.8986,-117.0228,99.16,9,1,2.86,clear sky
139,Ilulissat,GL,69.2167,-51.1,34.47,67,100,4.76,overcast clouds
140,Jiamusi,CN,46.8333,130.35,54.61,87,100,13.15,overcast clouds
141,Kosh-Agach,RU,50.0,88.6667,57.47,73,100,2.73,light rain
142,Olinda,BR,-8.0089,-34.8553,73.13,94,75,4.61,light rain
143,Egvekinot,RU,66.3167,-179.1667,39.83,75,93,7.29,overcast clouds
144,Hasaki,JP,35.7333,140.8333,66.6,74,21,6.96,few clouds
145,Luba,GQ,3.4568,8.5547,78.69,83,73,8.03,light rain
146,Trairi,BR,-3.2778,-39.2689,77.16,87,70,7.63,broken clouds
147,Jibuti,DJ,11.5,42.5,85.77,40,76,5.28,broken clouds
148,Sitka,US,57.0531,-135.33,52.03,65,83,6.93,broken clouds
149,Turbat,PK,26.0023,63.044,82.74,73,0,3.33,clear sky
150,Grand Gaube,MU,-20.0064,57.6608,71.38,78,30,1.99,scattered clouds
151,Tiksi,RU,71.6872,128.8694,22.98,89,99,8.7,overcast clouds
152,Bengkulu,ID,-3.8004,102.2655,74.64,82,100,2.98,overcast clouds
153,Itarantim,BR,-15.6597,-40.0656,64.99,94,32,2.89,scattered clouds
154,Avarua,CK,-21.2078,-159.775,82.45,69,7,5.75,clear sky
155,Soyo,AO,-6.1349,12.3689,74.28,85,0,7.14,clear sky
156,New Norfolk,AU,-42.7826,147.0587,46.9,88,48,2.91,scattered clouds
157,Ocara,BR,-4.4908,-38.5967,73.24,96,100,1.83,overcast clouds
158,Abu Dhabi,AE,24.4667,54.3667,86.02,61,0,8.05,clear sky
159,Nishihara,JP,26.1842,127.7558,74.68,100,100,8.05,light rain
160,Malakal,SS,9.5334,31.6605,81.97,57,100,6.78,overcast clouds
161,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,7,3.8,clear sky
162,Mukhen,RU,48.1,136.1,58.71,81,100,1.36,overcast clouds
163,Raudeberg,NO,61.9875,5.1352,48.87,86,99,11.07,overcast clouds
164,Katsuura,JP,35.1333,140.3,67.91,76,35,6.08,scattered clouds
165,Te Anau,NZ,-45.4167,167.7167,38.64,86,13,1.41,few clouds
166,Dubbo,AU,-32.25,148.6167,53.73,94,100,8.05,overcast clouds
167,Sisimiut,GL,66.9395,-53.6735,39.83,59,78,6.6,broken clouds
168,Jacqueville,CI,5.2052,-4.4146,77.63,84,100,5.44,light rain
169,Karratha,AU,-20.7377,116.8463,73.94,59,8,6.08,clear sky
170,Tralee,IE,52.2704,-9.7026,52.81,93,83,9.37,broken clouds
171,Korla,CN,41.7597,86.1469,81.88,17,100,4.83,overcast clouds
172,Tasiilaq,GL,65.6145,-37.6368,35.26,85,100,1.5,overcast clouds
173,Sioux Lookout,CA,50.1001,-91.917,62.67,45,100,14.97,overcast clouds
174,Dingle,PH,10.9995,122.6711,78.71,87,99,3.06,overcast clouds
175,La Primavera,CO,5.4906,-70.4092,78.51,87,78,4.54,broken clouds
176,Progreso,MX,21.2833,-89.6667,84.72,66,97,13.29,overcast clouds
177,Boddam,GB,57.4667,-1.7833,50.38,73,8,13.76,clear sky
178,Touros,BR,-5.1989,-35.4608,76.78,84,53,9.28,broken clouds
179,Serro,BR,-18.6047,-43.3794,59.5,86,77,3.27,broken clouds
180,Deputatskiy,RU,69.3,139.9,27.59,87,99,6.17,overcast clouds
181,Ust-Tsilma,RU,65.441,52.1498,51.12,91,100,10.4,light rain
182,Hambantota,LK,6.1241,81.1185,79.14,100,20,12.66,few clouds
183,Filadelfia,US,39.9523,-75.1638,74.12,46,99,5.01,overcast clouds
184,Auki,SB,-8.7676,160.7034,81.39,77,13,2.48,few clouds
185,Vozuca,BA,44.3614,18.3578,68.68,82,66,1.72,broken clouds
186,Brae,GB,60.3964,-1.353,48.31,84,57,20.54,broken clouds
187,Pierre,US,44.3683,-100.351,70.86,35,76,7.0,broken clouds
188,Lorengau,PG,-2.0226,147.2712,81.25,77,100,1.99,overcast clouds
189,Xuddur,SO,4.1213,43.8894,74.73,72,90,14.67,overcast clouds
190,Pevek,RU,69.7008,170.3133,31.24,93,41,10.42,scattered clouds
191,Lagoa,PT,39.05,-27.9833,61.32,79,0,13.69,clear sky
192,Alta Floresta,BR,-9.8756,-56.0861,87.62,51,20,6.91,few clouds
193,Grindavik,IS,63.8424,-22.4338,46.35,81,40,6.91,scattered clouds
194,Thompson,CA,55.7435,-97.8558,57.36,38,75,10.36,broken clouds
195,Belaya Gora,RU,68.5333,146.4167,38.19,70,100,12.08,overcast clouds
196,Marsabit,KE,2.3284,37.9899,66.27,75,87,12.59,overcast clouds
197,Morehead,US,37.2711,-87.1764,76.78,82,75,11.5,broken clouds
198,Esperance,AU,-33.8667,121.9,56.75,83,82,8.66,broken clouds
199,Gosainganj,IN,26.5833,82.3833,83.35,41,0,4.52,clear sky
200,Champerico,GT,14.3,-91.9167,77.54,75,89,15.57,overcast clouds
201,Sangar,RU,63.9242,127.4739,39.67,65,84,4.52,broken clouds
202,Uusikaupunki,FI,60.8004,21.4084,47.53,97,97,8.37,overcast clouds
203,Qaqortoq,GL,60.7167,-46.0333,38.43,63,14,10.4,few clouds
204,Savonlinna,FI,61.8699,28.88,48.25,61,0,5.75,clear sky
205,Fairbanks,US,64.8378,-147.7164,68.02,35,100,4.0,overcast clouds
206,Keflavik,IS,64.0049,-22.5624,46.31,81,40,6.91,scattered clouds
207,Shu,KZ,43.5983,73.7614,65.84,68,16,8.84,few clouds
208,Pitimbu,BR,-7.4706,-34.8086,75.79,86,100,11.27,light rain
209,Ketchikan,US,55.3422,-131.6461,55.13,59,73,3.62,broken clouds
210,Nkhata Bay,MW,-11.6066,34.2907,71.73,73,4,4.81,clear sky
211,Ryotsu,JP,38.0833,138.4333,66.67,71,77,6.42,broken clouds
212,Chuy,UY,-33.6971,-53.4616,58.57,95,100,13.78,moderate rain
213,Taoudenni,ML,22.6783,-3.9836,98.11,8,100,5.01,overcast clouds
214,Provideniya,RU,64.3833,-173.3,35.71,80,100,4.47,fog
215,Samarai,PG,-10.6167,150.6667,80.08,77,51,7.07,broken clouds
216,Tarnos,FR,43.5417,-1.4628,61.02,72,20,5.75,few clouds
217,Newport,GB,51.5877,-2.9984,56.25,86,20,8.5,few clouds
218,Narsaq,GL,60.9167,-46.05,40.69,48,28,0.63,scattered clouds
219,Dir,PK,35.2058,71.8756,64.72,50,0,5.35,clear sky
220,Kuytun,RU,54.3419,101.5036,53.47,62,0,5.77,clear sky
221,Aswan,EG,24.0934,32.907,85.3,13,0,8.05,clear sky
222,Norman Wells,CA,65.282,-126.8329,59.04,44,75,9.22,broken clouds
223,Maxixe,MZ,-23.8597,35.3472,68.18,88,0,3.38,clear sky
224,Boljevac,RS,43.8303,21.9531,63.72,81,28,4.45,scattered clouds
225,Kaeo,NZ,-35.1,173.7833,55.33,95,100,3.2,overcast clouds
226,Fershampenuaz,RU,53.5202,59.8117,47.98,81,29,5.93,scattered clouds
227,Smithers,CA,54.7804,-127.1743,50.32,76,75,10.36,light rain
228,Zhigansk,RU,66.7697,123.3711,31.86,78,49,24.45,scattered clouds
229,Isla Mujeres,MX,21.2311,-86.731,86.16,79,70,15.41,broken clouds
230,Nanortalik,GL,60.1432,-45.2371,34.2,78,7,13.29,clear sky
231,Sur,OM,22.5667,59.5289,89.94,43,0,11.54,clear sky
232,Sri Aman,MY,1.2376,111.4621,73.45,100,100,1.14,overcast clouds
233,Meulaboh,ID,4.1363,96.1285,76.51,86,94,3.62,overcast clouds
234,Lavrentiya,RU,65.5833,-171.0,40.6,85,100,7.49,overcast clouds
235,Quatre Cocos,MU,-20.2078,57.7625,71.1,70,36,8.41,scattered clouds
236,Hamilton,US,39.1834,-84.5333,83.25,79,100,1.99,overcast clouds
237,Ponta Do Sol,PT,32.6667,-17.1,66.7,73,100,5.23,overcast clouds
238,Kangaatsiaq,GL,68.3065,-53.4641,33.96,71,100,9.73,overcast clouds
239,Fremont,US,37.5483,-121.9886,101.8,39,75,20.71,broken clouds
240,Teya,RU,60.3778,92.6267,45.16,85,6,3.33,clear sky
241,Turka,UA,49.1541,23.0297,53.15,98,99,4.56,overcast clouds
242,Kysyl-Syr,RU,63.8986,122.7617,38.84,70,100,10.87,overcast clouds
243,Yarim,YE,14.298,44.3779,61.45,21,28,6.6,scattered clouds
244,Mogadishu,SO,2.0371,45.3438,79.2,86,100,12.95,overcast clouds
245,Namie,JP,37.4833,141.0,66.97,81,3,7.09,clear sky
246,Nantucket,US,41.2835,-70.0995,58.08,78,42,9.78,scattered clouds
247,Manono,CD,-7.3,27.4167,70.9,81,81,2.95,broken clouds
248,Kostomuksha,RU,64.571,30.5767,42.48,76,98,6.4,overcast clouds
249,Tigil,RU,57.8,158.6667,44.26,90,100,7.4,overcast clouds
250,Sibu,MY,2.3,111.8167,73.71,100,40,5.99,scattered clouds
251,Inhambane,MZ,-23.865,35.3833,69.4,85,0,3.58,clear sky
252,Muzhi,RU,65.3667,64.6667,53.67,62,100,17.54,overcast clouds
253,Kupang,ID,-10.1667,123.5833,77.04,83,88,7.81,overcast clouds
254,Santa Rosa,PH,14.3122,121.1114,82.11,90,82,3.58,broken clouds
255,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,54,0,20.71,clear sky
256,Nyurba,RU,63.2842,118.3319,39.11,71,41,6.24,scattered clouds
257,Belmonte,BR,-15.8631,-38.8828,73.02,83,8,12.55,clear sky
258,Lixourion,GR,38.2019,20.4314,70.39,55,7,1.74,clear sky
259,Lasa,IT,46.6166,10.7002,55.36,92,61,2.75,broken clouds
260,Murdochville,CA,48.9583,-65.5006,47.28,70,93,8.46,overcast clouds
261,Kavieng,PG,-2.5744,150.7967,82.26,72,100,8.5,overcast clouds
